time, Quad.IMU.AX,,,,
3.999892,-0.134982,,-0.154872,0.023985336,
0.494997,-0.132127,,-0.152017,0.023109168,
1.390009,-0.131546,,-0.151436,0.022932862,
4.214877,-0.131079,,-0.150969,0.022791639,
0.784993,-0.130249,,-0.150139,0.022541719,
4.924826,-0.130011,,-0.149901,0.02247031,
1.62502,-0.129787,,-0.149677,0.022403204,
2.564996,-0.12731,,-0.1472,0.02166784,
1.089995,-0.126384,,-0.146274,0.021396083,
4.899827,-0.124392,,-0.144282,0.020817296,
1.169999,-0.123126,,-0.143016,0.020453576,
0.799993,-0.123043,,-0.142933,0.020429842,
2.669989,-0.121837,,-0.141727,0.020086543,
1.119996,-0.120211,,-0.140101,0.01962829,
2.415007,-0.118975,,-0.138865,0.019283488,
1.715024,-0.115405,,-0.135295,0.018304737,
2.79498,-0.115238,,-0.135128,0.018259576,
4.919826,-0.113297,,-0.133187,0.017738777,
3.814906,-0.112591,,-0.132481,0.017551215,
0.334999,-0.111327,,-0.131217,0.017217901,
0.854993,-0.110981,,-0.130871,0.017127219,
0.644995,-0.110856,,-0.130746,0.017094517,
0.125,-0.106017,,-0.125907,0.015852573,
0.519997,-0.101491,,-0.121381,0.014733347,
2.38001,-0.101423,,-0.121313,0.014716844,
1.024992,-0.100746,,-0.120636,0.014553044,
0.779994,-0.099824,,-0.119714,0.014331442,
1.094995,-0.099348,,-0.119238,0.014217701,
0.879992,-0.095209,,-0.115099,0.01324778,
4.059888,-0.093559,,-0.113449,0.012870676,
3.989893,-0.091623,,-0.111513,0.012435149,
0.659995,-0.091202,,-0.111092,0.012341432,
0.849993,-0.088171,,-0.108061,0.01167718,
1.955035,-0.087757,,-0.107647,0.011587877,
4.649846,-0.087389,,-0.107279,0.011508784,
2.330014,-0.085895,,-0.105785,0.011190466,
0.579996,-0.083198,,-0.103088,0.010627136,
2.450005,-0.082499,,-0.102389,0.010483507,
3.139955,-0.082292,,-0.102182,0.010441161,
0.25,-0.08178,,-0.10167,0.010336789,
1.054993,-0.081281,,-0.101171,0.010235571,
3.449932,-0.080508,,-0.100398,0.010079758,
3.364938,-0.080472,,-0.100362,0.010072531,
0.165,-0.07582,,-0.09571,0.009160404,
3.549925,-0.071045,,-0.090935,0.008269174,
4.639846,-0.070546,,-0.090436,0.00817867,
0.135,-0.070391,,-0.090281,0.008150659,
4.359867,-0.070359,,-0.090249,0.008144882,
2.190024,-0.069145,,-0.089035,0.007927231,
1.935034,-0.06843,,-0.08832,0.007800422,
4.379865,-0.066259,,-0.086149,0.00742165,
0.584996,-0.066145,,-0.086035,0.007402021,
2.939969,-0.064664,,-0.084554,0.007149379,
1.064994,-0.064152,,-0.084042,0.007063058,
4.084887,-0.063835,,-0.083725,0.007009876,
2.739984,-0.063429,,-0.083319,0.006942056,
4.564852,-0.063216,,-0.083106,0.006906607,
1.044993,-0.060985,,-0.080875,0.006540766,
4.524855,-0.060185,,-0.080075,0.006412006,
2.405008,-0.0577,,-0.07759,0.006020208,
4.904827,-0.053915,,-0.073805,0.005447178,
0.574996,-0.053748,,-0.073638,0.005422555,
1.435011,-0.053252,,-0.073142,0.005349752,
0.749994,-0.050317,,-0.070207,0.004929023,
2.904972,-0.049206,,-0.069096,0.004774257,
1.515015,-0.048127,,-0.068017,0.004626312,
3.159953,-0.04786,,-0.06775,0.004590063,
1.765026,-0.047452,,-0.067342,0.004534945,
1.945035,-0.047337,,-0.067227,0.00451947,
2.859975,-0.046458,,-0.066348,0.004402057,
3.06496,-0.045481,,-0.065371,0.004273368,
1.270003,-0.044365,,-0.064255,0.004128705,
1.590018,-0.044317,,-0.064207,0.004122539,
2.749983,-0.044082,,-0.063972,0.004092417,
0.344999,-0.042077,,-0.061967,0.003839909,
1.740025,-0.037804,,-0.057694,0.003328598,
